Mix_ID,Cement Amount  (kg/m³),Cement type,Cement Grade (Mpa),Silica Fume (kg/m³),Flayash Amount   (kg/m³),Limestone Powder  (kg/m3),Quartzpowder (kg/m3),Glass powder (kg/m3),Rice husk ash (kg/m3),Metakaolin (kg/m³),GGBFS  (kg/m³),Slag Amount   (kg/m³),Nano-CaCO3 (kg/m3),Nano-Al2O3 (kg/m3),Nano-TiO2 (kg/m3),Nano Silica (kg/m3),Filler (kg/m³),Amount  (kg/m³),Sand Type,Max Size (mm),Type of Fiber,Amount / Quantity of Fiber,Length (mm),Diameter (mm),Amount  (kg/m³).1,Type of Superplasticizer,Amount  (kg/m³).2,Specimen,Testing Standard,28-Day
S10-F10,839.0,Type I/II low-alkali portland cement,52.5,104.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,919.0,Natural River sand,0.6,Straight Steel Fiber ,119.0,13.0,0.2,147.0,Polycarboxylate-based HRWRA,56.5,100 x 100 x 100 ,BS1881,135.0
S10-F5-N5,839.0,Type I/II low-alkali portland cement,52.5,104.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,925.0,Natural River sand,0.6,Straight Steel Fiber ,119.0,13.0,0.2,147.0,Polycarboxylate-based HRWRA,59.33,100 x 100 x 100 ,BS1881,132.0
S10-F2.5-N7.5,839.0,Type I/II low-alkali portland cement,52.5,104.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,931.0,Natural River sand,0.6,Straight Steel Fiber ,119.0,13.0,0.2,147.0,Polycarboxylate-based HRWRA,59.33,100 x 100 x 100 ,BS1881,122.5
S10-N10,839.0,Type I/II low-alkali portland cement,52.5,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,931.0,Natural River sand,0.6,Straight Steel Fiber ,119.0,13.0,0.2,147.0,Polycarboxylate-based HRWRA,62.15,100 x 100 x 100 ,BS1881,116.0
S10-F5-M5,839.0,Type I/II low-alkali portland cement,52.5,104.0,52.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,913.0,Natural River sand,0.6,Straight Steel Fiber ,119.0,13.0,0.2,147.0,Polycarboxylate-based HRWRA,64.98,100 x 100 x 100 ,BS1881,134.0
S10-F2.5-M7.5,839.0,Type I/II low-alkali portland cement,52.5,104.0,26.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,921.0,Natural River sand,0.6,Straight Steel Fiber ,119.0,13.0,0.2,147.0,Polycarboxylate-based HRWRA,64.98,100 x 100 x 100 ,BS1881,131.5
S10-M10,839.0,Type I/II low-alkali portland cement,52.5,104.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,922.0,Natural River sand,0.6,Straight Steel Fiber ,119.0,13.0,0.2,147.0,Polycarboxylate-based HRWRA,67.8,100 x 100 x 100 ,BS1881,130.5
S10-F8-G2,839.0,Type I/II low-alkali portland cement,52.5,104.0,83.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,920.0,Natural River sand,0.6,Straight Steel Fiber ,119.0,13.0,0.2,147.0,Polycarboxylate-based HRWRA,59.33,100 x 100 x 100 ,BS1881,134.5
S10-F6-G4,839.0,Type I/II low-alkali portland cement,52.5,104.0,62.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,921.0,Natural River sand,0.6,Straight Steel Fiber ,119.0,13.0,0.2,147.0,Polycarboxylate-based HRWRA,62.15,100 x 100 x 100 ,BS1881,132.5
S10-N5-M5,839.0,Type I/II low-alkali portland cement,52.5,104.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,926.0,Natural River sand,0.6,Straight Steel Fiber ,119.0,13.0,0.2,147.0,Polycarboxylate-based HRWRA,64.98,100 x 100 x 100 ,BS1881,123.0
